time,weight,g,-
5233,-0.500,[g],(0xc392)
5906,-0.031,[g],(0xc3c4)
6579,-0.297,[g],(0xc39d)
7251,0.813,[g],(0xc3ff)
7924,0.375,[g],(0xc3ab)
8598,-0.406,[g],(0xc3a8)
9271,0.047,[g],(0xc3c2)
9944,0.172,[g],(0xc3d9)
10616,0.281,[g],(0xc3d9)
11289,-0.359,[g],(0xc3cc)
11962,-0.578,[g],(0xc3ef)
12635,-0.672,[g],(0xc3cf)
13307,-0.578,[g],(0xc3c0)
13980,-0.172,[g],(0xc3ed)
14653,-0.016,[g],(0xc3c0)
15326,-0.281,[g],(0xc3c0)
15998,0.266,[g],(0xc3e5)
16671,0.000,[g],(0xc3a7)
17344,-0.063,[g],(0xc3b8)
18017,-0.594,[g],(0xc3bd)
18690,-0.313,[g],(0xc3cc)
19362,0.000,[g],(0xc3cd)
20035,-0.453,[g],(0xc3a7)
20708,0.250,[g],(0xc3a0)
21381,-0.797,[g],(0xc3cb)
22053,-0.391,[g],(0xc3bf)
22726,-0.109,[g],(0xc3c0)
23400,-0.250,[g],(0xc3ce)
24073,0.250,[g],(0xc3d7)
24745,-0.453,[g],(0xc3ef)
25418,-0.031,[g],(0xc3d8)
26091,-0.109,[g],(0xc38e)
26764,0.031,[g],(0xc3e8)
27437,-0.125,[g],(0xc3e1)
28109,-0.188,[g],(0xc3f0)
28782,-0.281,[g],(0xc3c9)
29455,-0.672,[g],(0xc3a7)
30128,-1.344,[g],(0xc3db)
30800,-0.859,[g],(0xc3cf)
31473,0.047,[g],(0xc405)
32146,-0.516,[g],(0xc3c8)
32819,-0.297,[g],(0xc3e0)
33491,-0.031,[g],(0xc3ce)
34164,-0.297,[g],(0xc3fa)
34837,0.641,[g],(0xc3e1)
35510,0.078,[g],(0xc39c)
36184,0.156,[g],(0xc3df)
36856,-0.781,[g],(0xc3c6)
37529,0.047,[g],(0xc3d4)
38202,-0.672,[g],(0xc3a9)
38875,-0.422,[g],(0xc3dc)
39547,0.172,[g],(0xc3f4)
40220,-0.188,[g],(0xc3b9)
40893,-0.141,[g],(0xc3cc)
41566,-0.344,[g],(0xc3c0)
42238,-0.859,[g],(0xc37e)
42911,0.422,[g],(0xc3fb)
43585,-0.125,[g],(0xc3d4)
44258,-0.422,[g],(0xc3d1)
44931,-0.031,[g],(0xc3a8)
45603,0.266,[g],(0xc38b)
46276,-0.969,[g],(0xc3dd)
46949,-0.063,[g],(0xc3a6)
47622,0.359,[g],(0xc3c2)
48294,0.031,[g],(0xc3eb)
48967,-0.141,[g],(0xc3c9)
49640,-0.063,[g],(0xc405)
50314,0.453,[g],(0xc3d9)
50987,-0.031,[g],(0xc3a7)
51659,-0.672,[g],(0xc3b8)
52332,0.031,[g],(0xc3c2)
53005,-0.703,[g],(0xc373)
53678,-0.344,[g],(0xc3d1)
54350,-0.281,[g],(0xc3c8)
55023,-0.172,[g],(0xc3d0)
55697,-0.500,[g],(0xc3e2)
56370,0.266,[g],(0xc37e)
57042,-0.625,[g],(0xc3b7)
57715,-0.313,[g],(0xc3b6)
58388,-0.078,[g],(0xc3d7)
59061,0.250,[g],(0xc3ae)
59734,0.594,[g],(0xc3d8)
60407,-0.359,[g],(0xc3b9)
61080,-0.797,[g],(0xc387)
61753,-0.469,[g],(0xc3c6)
62426,0.531,[g],(0xc3e6)
63098,-0.078,[g],(0xc3b9)
63772,-0.953,[g],(0xc396)
64445,-0.172,[g],(0xc3ce)
65118,0.031,[g],(0xc3af)
65790,-0.672,[g],(0xc3e2)
66463,-0.594,[g],(0xc392)
67136,0.078,[g],(0xc3b4)
67810,0.031,[g],(0xc402)
68483,-0.500,[g],(0xc3b1)
69155,-0.344,[g],(0xc395)
69828,-0.406,[g],(0xc3d5)
70501,-0.469,[g],(0xc3d1)
71174,-0.422,[g],(0xc3c7)
71846,0.703,[g],(0xc398)
72519,0.156,[g],(0xc3f0)
73192,0.000,[g],(0xc3ca)
73866,0.219,[g],(0xc3eb)
74539,0.422,[g],(0xc3fc)
75211,-0.688,[g],(0xc3d3)
75884,0.563,[g],(0xc413)
76557,0.219,[g],(0xc3b9)
77230,-0.875,[g],(0xc3aa)
77902,-0.391,[g],(0xc3cb)
78575,-0.391,[g],(0xc3c5)
79248,-0.125,[g],(0xc3c7)
79922,0.047,[g],(0xc3d5)
80594,0.047,[g],(0xc3c2)
81267,0.156,[g],(0xc3bd)
81940,-0.172,[g],(0xc3be)
82613,-0.500,[g],(0xc393)
83286,-0.578,[g],(0xc3a9)
83958,-0.172,[g],(0xc3d2)
84631,0.484,[g],(0xc3dc)
85304,0.172,[g],(0xc3d1)
85978,0.172,[g],(0xc3d0)
86650,0.813,[g],(0xc3d8)
87323,0.656,[g],(0xc3eb)
87996,-0.016,[g],(0xc3d0)
88669,-0.016,[g],(0xc3c4)
89341,-0.188,[g],(0xc3df)
90014,0.359,[g],(0xc3d3)
90687,-0.313,[g],(0xc3c6)
91360,-0.406,[g],(0xc3e1)
92033,0.109,[g],(0xc3d6)
92705,-0.594,[g],(0xc3b7)
93378,0.281,[g],(0xc3f5)
94051,-0.141,[g],(0xc3c4)
94724,0.172,[g],(0xc3ea)
95396,-0.359,[g],(0xc3d2)
96069,0.672,[g],(0xc3dc)
96742,-0.406,[g],(0xc3d1)
97415,0.594,[g],(0xc3fa)
98087,-0.125,[g],(0xc3e1)
98760,-0.125,[g],(0xc3c3)
99433,-0.078,[g],(0xc3c3)
100106,0.156,[g],(0xc405)
100780,0.641,[g],(0xc3d7)
101452,-0.078,[g],(0xc3d8)
102125,-0.031,[g],(0xc3c2)
102798,0.109,[g],(0xc3f5)
103471,-0.359,[g],(0xc3c9)
104143,0.250,[g],(0xc3ba)
104817,-0.125,[g],(0xc3d9)
105490,-0.797,[g],(0xc3ba)
106163,0.875,[g],(0xc3e7)
106835,0.078,[g],(0xc3be)
107508,0.000,[g],(0xc3c3)
108181,-0.141,[g],(0xc3bb)
108854,0.156,[g],(0xc3d1)
109528,0.000,[g],(0xc3c6)
110200,0.250,[g],(0xc41c)
110873,0.156,[g],(0xc3d6)
111546,0.703,[g],(0xc3e5)
112219,0.609,[g],(0xc3a0)
112891,0.609,[g],(0xc3f0)
113565,0.734,[g],(0xc39a)
114238,-0.219,[g],(0xc3de)
114911,-0.359,[g],(0xc3ae)
115584,0.156,[g],(0xc3e2)
116256,-0.109,[g],(0xc3d6)
116929,-0.141,[g],(0xc3bc)
117602,0.172,[g],(0xc3e9)
118275,0.047,[g],(0xc3c6)
118948,-0.016,[g],(0xc3d6)
119621,-0.641,[g],(0xc3b6)
120294,-0.078,[g],(0xc3e0)
120967,-0.031,[g],(0xc3d2)
121639,-0.125,[g],(0xc3f9)
122312,0.141,[g],(0xc412)
122985,-0.297,[g],(0xc3c9)
123659,-0.219,[g],(0xc3dc)
124332,0.375,[g],(0xc3df)
125004,0.281,[g],(0xc3b7)
125677,0.828,[g],(0xc3f5)
126350,0.000,[g],(0xc3bf)
127023,0.250,[g],(0xc3e0)
127696,0.078,[g],(0xc3ec)
128369,-0.109,[g],(0xc3ca)
129042,-0.344,[g],(0xc3b2)
129715,-0.281,[g],(0xc3a3)
130387,-0.453,[g],(0xc3f0)
131060,-0.250,[g],(0xc3c5)
131733,-0.500,[g],(0xc3ba)
132407,0.031,[g],(0xc3c0)
133080,0.219,[g],(0xc3a5)
133752,0.109,[g],(0xc3d8)
134425,0.313,[g],(0xc3c6)
135098,-0.594,[g],(0xc3cb)
135771,0.922,[g],(0xc405)
136444,0.563,[g],(0xc3c2)
137117,0.078,[g],(0xc401)
137790,-0.391,[g],(0xc3af)
138463,-0.141,[g],(0xc3cf)
139136,0.281,[g],(0xc3c6)
139808,-0.500,[g],(0xc3c8)
140481,0.484,[g],(0xc3cd)
141155,-0.641,[g],(0xc3a1)
141828,0.156,[g],(0xc3d1)
142500,-0.172,[g],(0xc3d4)
143173,0.266,[g],(0xc3ce)
143846,0.594,[g],(0xc3d6)
144519,0.328,[g],(0xc3fd)
145191,0.156,[g],(0xc39c)
145864,0.141,[g],(0xc3d9)
146537,0.531,[g],(0xc3c6)
147210,0.313,[g],(0xc3da)
147884,0.375,[g],(0xc3ef)
148556,-0.031,[g],(0xc3f4)
149229,-0.141,[g],(0xc3eb)
149902,0.531,[g],(0xc419)
150575,0.438,[g],(0xc3cb)
151247,-0.109,[g],(0xc400)
151920,0.531,[g],(0xc3ce)
152593,-0.453,[g],(0xc3d7)
153266,-0.125,[g],(0xc3af)
153939,0.484,[g],(0xc3c2)
154612,0.250,[g],(0xc3b6)
155285,0.156,[g],(0xc3ab)
155958,-0.125,[g],(0xc3c7)
156631,0.203,[g],(0xc3bc)
157303,0.422,[g],(0xc3f4)
157976,0.656,[g],(0xc3ca)
158650,0.375,[g],(0xc3df)
159323,0.266,[g],(0xc3d1)
159995,-0.391,[g],(0xc3ee)
160668,0.156,[g],(0xc3d7)
161341,0.422,[g],(0xc3bc)
162014,0.266,[g],(0xc404)
162686,0.375,[g],(0xc3f1)
163360,0.422,[g],(0xc3da)
164033,0.266,[g],(0xc3a2)
164706,0.219,[g],(0xc3c9)
165379,0.563,[g],(0xc39e)
166051,0.047,[g],(0xc3ea)
166724,-0.031,[g],(0xc3d2)
167397,-0.250,[g],(0xc3d4)
168071,-0.031,[g],(0xc3ba)
168743,0.313,[g],(0xc3b3)
169416,0.203,[g],(0xc3e8)
170089,-0.031,[g],(0xc3cf)
170762,0.438,[g],(0xc410)
171435,0.438,[g],(0xc3f0)
172107,-0.125,[g],(0xc3ce)
172780,0.672,[g],(0xc3cc)
173453,0.781,[g],(0xc3e4)
174126,0.141,[g],(0xc3cd)
174799,-0.031,[g],(0xc3be)
175472,0.813,[g],(0xc3ea)
176145,-0.406,[g],(0xc3aa)
176818,-0.219,[g],(0xc3b5)
177490,0.375,[g],(0xc3db)
178163,0.109,[g],(0xc3c8)
178836,0.531,[g],(0xc3ca)
179509,0.156,[g],(0xc3f1)
180182,0.359,[g],(0xc3b2)
180854,-0.172,[g],(0xc3c1)
181527,-0.172,[g],(0xc3c7)
182201,-0.344,[g],(0xc3d9)
182874,0.250,[g],(0xc3a7)
183546,-0.703,[g],(0xc3bf)
184219,0.531,[g],(0xc3c9)
184892,0.000,[g],(0xc3a9)
185565,-0.313,[g],(0xc3db)
186237,0.109,[g],(0xc3bf)
186910,0.359,[g],(0xc3a9)
187583,-0.391,[g],(0xc3ce)
188257,0.313,[g],(0xc3ed)
188930,0.047,[g],(0xc3d5)
189602,0.844,[g],(0xc3dc)
190275,-0.469,[g],(0xc3d4)
190948,0.172,[g],(0xc3e9)
191621,-0.281,[g],(0xc3e0)
192293,0.281,[g],(0xc407)
192966,0.891,[g],(0xc3df)
193640,0.281,[g],(0xc3cc)
194313,-0.016,[g],(0xc3af)
194985,0.047,[g],(0xc3e4)
195658,0.328,[g],(0xc3d8)
196331,0.000,[g],(0xc3bc)
197004,0.641,[g],(0xc3f1)
197678,-0.500,[g],(0xc3e8)
198350,0.031,[g],(0xc3ed)
199023,0.594,[g],(0xc3dd)
199696,-0.016,[g],(0xc3b1)
200369,0.109,[g],(0xc3df)
201041,-0.391,[g],(0xc3ce)
201714,0.141,[g],(0xc3e7)
202387,0.813,[g],(0xc3b9)
203061,-0.016,[g],(0xc3f4)
203734,0.359,[g],(0xc3e6)
204406,0.500,[g],(0xc3fd)
205079,0.484,[g],(0xc3e0)
205752,-0.219,[g],(0xc3f0)
206425,0.266,[g],(0xc3bd)
207097,-0.031,[g],(0xc3cf)
207771,0.109,[g],(0xc3db)
208444,-0.219,[g],(0xc3d3)
209117,0.438,[g],(0xc3f0)
209789,0.266,[g],(0xc3d6)
210462,0.359,[g],(0xc3bc)
211135,-0.406,[g],(0xc3cf)
211808,0.813,[g],(0xc3d0)
212481,0.438,[g],(0xc3e2)
213153,0.328,[g],(0xc3f9)
213827,0.594,[g],(0xc3d6)
214500,1.000,[g],(0xc3c9)
215173,0.328,[g],(0xc3fa)
215845,0.875,[g],(0xc3d3)
216518,0.453,[g],(0xc3b5)
217191,1.234,[g],(0xc3e3)
217864,-0.125,[g],(0xc3c3)
218537,0.375,[g],(0xc3ea)
219210,-0.250,[g],(0xc3ca)
219883,0.281,[g],(0xc3d5)
220556,-0.172,[g],(0xc3e5)
221229,0.078,[g],(0xc3ec)
221901,-0.031,[g],(0xc3d9)
222574,-0.109,[g],(0xc3da)
223247,-0.109,[g],(0xc3f5)
223921,0.438,[g],(0xc3d5)
224593,0.078,[g],(0xc3d6)
225266,0.047,[g],(0xc3e8)
225939,-0.031,[g],(0xc3d6)
226612,0.078,[g],(0xc3b7)
227284,-0.063,[g],(0xc3db)
227957,1.047,[g],(0xc3de)
228631,0.313,[g],(0xc3ff)
229304,-0.391,[g],(0xc3ea)
229977,-0.188,[g],(0xc3b6)
230649,-0.078,[g],(0xc3d8)
231322,0.703,[g],(0xc410)
231995,0.281,[g],(0xc3d8)
232668,0.531,[g],(0xc3c7)
233341,-0.016,[g],(0xc3d5)
234014,0.172,[g],(0xc3e6)
234687,0.703,[g],(0xc3ee)
235360,0.734,[g],(0xc3e5)
236033,0.438,[g],(0xc40c)
236705,0.250,[g],(0xc3c4)
237379,1.266,[g],(0xc3cb)
238052,0.500,[g],(0xc3e5)
238725,0.547,[g],(0xc3fa)
239397,0.359,[g],(0xc405)
240070,0.156,[g],(0xc39f)
240743,0.172,[g],(0xc3b3)
241416,0.953,[g],(0xc3e5)
242089,0.703,[g],(0xc40d)
242762,0.875,[g],(0xc3f3)
243435,0.438,[g],(0xc3d8)
244108,0.219,[g],(0xc3c9)
244781,0.203,[g],(0xc3f3)
245453,0.672,[g],(0xc3b1)
246126,-0.125,[g],(0xc3c8)
246799,0.641,[g],(0xc417)
247473,0.359,[g],(0xc3cf)
248145,0.531,[g],(0xc3d9)
248818,0.656,[g],(0xc3fe)
249491,0.438,[g],(0xc3c6)
250164,0.078,[g],(0xc39e)
250836,0.563,[g],(0xc3df)
251509,0.828,[g],(0xc3dd)
252183,0.219,[g],(0xc3db)
252856,0.281,[g],(0xc40a)
253529,0.359,[g],(0xc40a)
254201,-0.016,[g],(0xc3d4)
254874,0.641,[g],(0xc3f1)
255547,0.078,[g],(0xc3d0)
256220,0.672,[g],(0xc409)
256893,0.000,[g],(0xc3bc)
257566,-0.125,[g],(0xc3d9)
258239,-0.953,[g],(0xc3e3)
258912,0.281,[g],(0xc3ea)
259585,0.656,[g],(0xc3f3)
260257,0.594,[g],(0xc3e4)
260931,-0.109,[g],(0xc3d6)
261604,0.891,[g],(0xc3d4)
262277,0.781,[g],(0xc3c3)
262949,0.813,[g],(0xc413)
263622,0.656,[g],(0xc3d6)
264295,0.156,[g],(0xc3c4)
264968,0.641,[g],(0xc3d7)
265641,0.875,[g],(0xc3df)
266314,0.109,[g],(0xc40e)
266987,0.141,[g],(0xc3e5)
267660,0.250,[g],(0xc3f2)
268333,-0.625,[g],(0xc3cb)
269005,0.219,[g],(0xc3c7)
269678,-0.281,[g],(0xc3a9)
270352,-0.172,[g],(0xc3c0)
271025,0.047,[g],(0xc3e3)
271697,-0.031,[g],(0xc3dc)
272370,0.531,[g],(0xc3cb)
273043,0.641,[g],(0xc3d0)
273716,-0.188,[g],(0xc3cb)
274388,-0.078,[g],(0xc3c5)
275061,-0.406,[g],(0xc3ea)
275735,0.313,[g],(0xc3ef)
276408,-0.406,[g],(0xc3ee)
277081,0.219,[g],(0xc3e0)
277753,-0.078,[g],(0xc3e4)
278426,0.484,[g],(0xc3d9)
279099,0.438,[g],(0xc3d1)
279772,0.531,[g],(0xc3f1)
280445,-0.219,[g],(0xc3e1)
281118,-0.063,[g],(0xc3c0)
281791,0.422,[g],(0xc3c6)
282464,0.672,[g],(0xc3e8)
283137,0.359,[g],(0xc3a4)
283809,0.281,[g],(0xc408)
284482,0.031,[g],(0xc3cd)
285155,0.422,[g],(0xc3ef)
285828,1.125,[g],(0xc3e0)
286501,-0.188,[g],(0xc3ee)
287174,0.422,[g],(0xc3e8)
287847,0.609,[g],(0xc3cf)
288520,0.281,[g],(0xc3d2)
289192,-0.063,[g],(0xc3dc)
289865,0.563,[g],(0xc3b7)
290538,-0.359,[g],(0xc3d4)
291211,0.000,[g],(0xc3af)
291884,-0.125,[g],(0xc3c5)
292556,0.844,[g],(0xc3df)
293230,0.766,[g],(0xc3ed)
293903,-0.031,[g],(0xc3c3)
294576,0.172,[g],(0xc3cf)
295248,-0.359,[g],(0xc404)
295921,0.703,[g],(0xc3f5)
296594,0.000,[g],(0xc3aa)
297267,0.500,[g],(0xc3d1)
297939,-0.031,[g],(0xc419)
298612,0.734,[g],(0xc3d4)
299286,0.609,[g],(0xc3b6)
